+ mkdir -p /home/tianon/downloads/docker-brew-debian/unstable/rootfs
I: Validating libtext-wrapi18n-perl 0.06-7.1
I: Retrieving libusb-0.1-4 2:0.1.12-27
I: Validating libusb-0.1-4 2:0.1.12-27
I: Retrieving lsb-base 9.20150917
I: Validating lsb-base 9.20150917
I: Retrieving dmsetup 2:1.02.110-1
I: Validating dmsetup 2:1.02.110-1
I: Retrieving libdevmapper1.02.1 2:1.02.110-1
I: Validating libdevmapper1.02.1 2:1.02.110-1
I: Retrieving mawk 1.3.3-17
I: Validating mawk 1.3.3-17
I: Retrieving libncurses5 6.0+20151024-2
I: Validating libncurses5 6.0+20151024-2
I: Retrieving libncursesw5 6.0+20151024-2
I: Validating libncursesw5 6.0+20151024-2
I: Retrieving libtinfo5 6.0+20151024-2
I: Validating libtinfo5 6.0+20151024-2
I: Retrieving ncurses-base 6.0+20151024-2
I: Validating ncurses-base 6.0+20151024-2
I: Retrieving ncurses-bin 6.0+20151024-2
I: Validating ncurses-bin 6.0+20151024-2
I: Retrieving netbase 5.3
I: Validating netbase 5.3
I: Retrieving libpam-modules 1.1.8-3.1
I: Validating libpam-modules 1.1.8-3.1
I: Retrieving libpam-modules-bin 1.1.8-3.1
I: Validating libpam-modules-bin 1.1.8-3.1
I: Retrieving libpam-runtime 1.1.8-3.1
I: Validating libpam-runtime 1.1.8-3.1
I: Retrieving libpam0g 1.1.8-3.1
I: Validating libpam0g 1.1.8-3.1
I: Retrieving libpcre3 2:8.35-7.4
I: Validating libpcre3 2:8.35-7.4
I: Retrieving perl-base 5.20.2-6
I: Validating perl-base 5.20.2-6
I: Retrieving libreadline6 6.3-8+b3
I: Validating libreadline6 6.3-8+b3
I: Retrieving readline-common 6.3-8
I: Validating readline-common 6.3-8
I: Retrieving sed 4.2.2-6.1
I: Validating sed 4.2.2-6.1
I: Retrieving sensible-utils 0.0.9
I: Validating sensible-utils 0.0.9
I: Retrieving login 1:4.2-3.1
I: Validating login 1:4.2-3.1
I: Retrieving passwd 1:4.2-3.1
I: Validating passwd 1:4.2-3.1
I: Retrieving startpar 0.59-3
I: Validating startpar 0.59-3
I: Retrieving libsystemd0 228-2
I: Validating libsystemd0 228-2
I: Retrieving libudev1 228-2
I: Validating libudev1 228-2
I: Retrieving systemd 228-2
I: Validating systemd 228-2
I: Retrieving systemd-sysv 228-2
I: Validating systemd-sysv 228-2
I: Retrieving initscripts 2.88dsf-59.2
I: Validating initscripts 2.88dsf-59.2
I: Retrieving sysv-rc 2.88dsf-59.2
I: Validating sysv-rc 2.88dsf-59.2
I: Retrieving sysvinit-utils 2.88dsf-59.2
I: Validating sysvinit-utils 2.88dsf-59.2
I: Retrieving tar 1.28-2.1
I: Validating tar 1.28-2.1
I: Retrieving tzdata 2015g-1
I: Validating tzdata 2015g-1
I: Retrieving libustr-1.0-1 1.0.4-5
I: Validating libustr-1.0-1 1.0.4-5
I: Retrieving bsdutils 1:2.27.1-1
I: Validating bsdutils 1:2.27.1-1
I: Retrieving libblkid1 2.27.1-1
I: Validating libblkid1 2.27.1-1
I: Retrieving libfdisk1 2.27.1-1
I: Validating libfdisk1 2.27.1-1
I: Retrieving libmount1 2.27.1-1
I: Validating libmount1 2.27.1-1
I: Retrieving libsmartcols1 2.27.1-1
I: Validating libsmartcols1 2.27.1-1
I: Retrieving libuuid1 2.27.1-1
I: Validating libuuid1 2.27.1-1
I: Retrieving mount 2.27.1-1
I: Validating mount 2.27.1-1
I: Retrieving util-linux 2.27.1-1
I: Validating util-linux 2.27.1-1
I: Retrieving liblzma5 5.1.1alpha+20120614-2.1
I: Validating liblzma5 5.1.1alpha+20120614-2.1
I: Retrieving zlib1g 1:1.2.8.dfsg-2+b1
I: Validating zlib1g 1:1.2.8.dfsg-2+b1
I: Chosen extractor for .deb packages: dpkg-deb
I: Extracting libacl1...
I: Extracting adduser...
I: Extracting libapparmor1...
I: Extracting libattr1...
I: Extracting libaudit-common...
I: Extracting libaudit1...
I: Extracting base-files...
I: Extracting base-passwd...
I: Extracting bash...
I: Extracting libbz2-1.0...
I: Extracting libdebconfclient0...
I: Extracting coreutils...
I: Extracting libcryptsetup4...
I: Extracting dash...
I: Extracting libdb5.3...
I: Extracting debconf...
I: Extracting debconf-i18n...
I: Extracting debianutils...
I: Extracting diffutils...
I: Extracting dpkg...
I: Extracting e2fslibs...
I: Extracting e2fsprogs...
I: Extracting libcomerr2...
I: Extracting libss2...
I: Extracting findutils...
I: Extracting gcc-4.8-base...
I: Extracting gcc-4.9-base...
I: Extracting gcc-5-base...
I: Extracting libgcc1...
I: Extracting libc-bin...
I: Extracting libc6...
I: Extracting multiarch-support...
I: Extracting grep...
I: Extracting gzip...
I: Extracting hostname...
I: Extracting init...
I: Extracting insserv...
I: Extracting libkmod2...
I: Extracting libcap2...
I: Extracting libcap2-bin...
I: Extracting libgcrypt20...
I: Extracting libgpg-error0...
I: Extracting liblocale-gettext-perl...
I: Extracting libseccomp2...
I: Extracting libselinux1...
I: Extracting libsemanage-common...
I: Extracting libsemanage1...
I: Extracting libsepol1...
I: Extracting libtext-charwidth-perl...
I: Extracting libtext-iconv-perl...
I: Extracting libtext-wrapi18n-perl...
I: Extracting lsb-base...
I: Extracting dmsetup...
I: Extracting libdevmapper1.02.1...
I: Extracting mawk...
I: Extracting libncurses5...
I: Extracting libncursesw5...
I: Extracting libtinfo5...
I: Extracting ncurses-base...
I: Extracting ncurses-bin...
I: Extracting libpam-modules...
I: Extracting libpam-modules-bin...
I: Extracting libpam-runtime...
I: Extracting libpam0g...
I: Extracting libpcre3...
I: Extracting perl-base...
I: Extracting sed...
I: Extracting sensible-utils...
I: Extracting login...
I: Extracting passwd...
I: Extracting startpar...
I: Extracting libsystemd0...
I: Extracting libudev1...
I: Extracting systemd...
I: Extracting systemd-sysv...
I: Extracting initscripts...
I: Extracting sysv-rc...
I: Extracting sysvinit-utils...
I: Extracting tar...
I: Extracting tzdata...
I: Extracting libustr-1.0-1...
I: Extracting bsdutils...
I: Extracting libblkid1...
I: Extracting libfdisk1...
I: Extracting libmount1...
I: Extracting libsmartcols1...
I: Extracting libuuid1...
I: Extracting mount...
I: Extracting util-linux...
I: Extracting liblzma5...
I: Extracting zlib1g...
I: Installing core packages...
I: Unpacking required packages...
I: Unpacking libacl1:amd64...
I: Unpacking adduser...
I: Unpacking libapparmor1:amd64...
I: Unpacking libattr1:amd64...
I: Unpacking libaudit-common...
I: Unpacking libaudit1:amd64...
I: Unpacking base-files...
I: Unpacking base-passwd...
I: Unpacking bash...
I: Unpacking libbz2-1.0:amd64...
I: Unpacking libdebconfclient0:amd64...
I: Unpacking coreutils...
I: Unpacking libcryptsetup4:amd64...
I: Unpacking dash...
I: Unpacking libdb5.3:amd64...
I: Unpacking debconf...
I: Unpacking debconf-i18n...
I: Unpacking debianutils...
I: Unpacking diffutils...
I: Unpacking dpkg...
I: Unpacking e2fslibs:amd64...
I: Unpacking e2fsprogs...
I: Unpacking libcomerr2:amd64...
I: Unpacking libss2:amd64...
I: Unpacking findutils...
I: Unpacking gcc-4.8-base:amd64...
I: Unpacking gcc-4.9-base:amd64...
I: Unpacking gcc-5-base:amd64...
I: Unpacking libgcc1:amd64...
I: Unpacking libc-bin...
I: Unpacking libc6:amd64...
I: Unpacking multiarch-support...
I: Unpacking grep...
I: Unpacking gzip...
I: Unpacking hostname...
I: Unpacking init...
I: Unpacking insserv...
I: Unpacking libkmod2:amd64...
I: Unpacking libcap2:amd64...
I: Unpacking libcap2-bin...
I: Unpacking libgcrypt20:amd64...
I: Unpacking libgpg-error0:amd64...
I: Unpacking liblocale-gettext-perl...
I: Unpacking libseccomp2:amd64...
I: Unpacking libselinux1:amd64...
I: Unpacking libsemanage-common...
I: Unpacking libsemanage1:amd64...
I: Unpacking libsepol1:amd64...
I: Unpacking libtext-charwidth-perl...
I: Unpacking libtext-iconv-perl...
I: Unpacking libtext-wrapi18n-perl...
I: Unpacking lsb-base...
I: Unpacking dmsetup...
I: Unpacking libdevmapper1.02.1:amd64...
I: Unpacking mawk...
I: Unpacking libncurses5:amd64...
I: Unpacking libncursesw5:amd64...
I: Unpacking libtinfo5:amd64...
I: Unpacking ncurses-base...
I: Unpacking ncurses-bin...
I: Unpacking libpam-modules:amd64...
I: Unpacking libpam-modules-bin...
I: Unpacking libpam-runtime...
I: Unpacking libpam0g:amd64...
I: Unpacking libpcre3:amd64...
I: Unpacking perl-base...
I: Unpacking sed...
I: Unpacking sensible-utils...
I: Unpacking login...
I: Unpacking passwd...
I: Unpacking startpar...
I: Unpacking libsystemd0:amd64...
I: Unpacking libudev1:amd64...
I: Unpacking systemd...
I: Unpacking systemd-sysv...
I: Unpacking initscripts...
I: Unpacking sysv-rc...
I: Unpacking sysvinit-utils...
I: Unpacking tar...
I: Unpacking tzdata...
I: Unpacking libustr-1.0-1:amd64...
I: Unpacking bsdutils...
I: Unpacking libblkid1:amd64...
I: Unpacking libfdisk1:amd64...
I: Unpacking libmount1:amd64...
I: Unpacking libsmartcols1:amd64...
I: Unpacking libuuid1:amd64...
I: Unpacking mount...
I: Unpacking util-linux...
I: Unpacking liblzma5:amd64...
I: Unpacking zlib1g:amd64...
I: Configuring required packages...
I: Configuring gcc-4.8-base:amd64...
I: Configuring lsb-base...
I: Configuring sensible-utils...
I: Configuring ncurses-base...
I: Configuring libsemanage-common...
I: Configuring gcc-4.9-base:amd64...
I: Configuring libaudit-common...
I: Configuring gcc-5-base:amd64...
I: Configuring libc6:amd64...
I: Configuring startpar...
I: Configuring libbz2-1.0:amd64...
I: Configuring libkmod2:amd64...
I: Configuring libgpg-error0:amd64...
I: Configuring libseccomp2:amd64...
I: Configuring libapparmor1:amd64...
I: Configuring sysvinit-utils...
I: Configuring libdebconfclient0:amd64...
I: Configuring diffutils...
I: Configuring insserv...
I: Configuring libcomerr2:amd64...
I: Configuring findutils...
I: Configuring libsepol1:amd64...
I: Configuring libgcc1:amd64...
I: Configuring libustr-1.0-1:amd64...
I: Configuring libsmartcols1:amd64...
I: Configuring libaudit1:amd64...
I: Configuring libtinfo5:amd64...
I: Configuring libudev1:amd64...
I: Configuring libss2:amd64...
I: Configuring liblzma5:amd64...
I: Configuring base-passwd...
I: Configuring e2fslibs:amd64...
I: Configuring debianutils...
I: Configuring libgcrypt20:amd64...
I: Configuring libncursesw5:amd64...
I: Configuring libdb5.3:amd64...
I: Configuring hostname...
I: Configuring multiarch-support...
I: Configuring mawk...
I: Configuring libpcre3:amd64...
I: Configuring base-files...
I: Configuring libselinux1:amd64...
I: Configuring ncurses-bin...
I: Configuring libncurses5:amd64...
I: Configuring libattr1:amd64...
I: Configuring zlib1g:amd64...
I: Configuring libcap2:amd64...
I: Configuring libsystemd0:amd64...
I: Configuring libdevmapper1.02.1:amd64...
I: Configuring libc-bin...
I: Configuring libsemanage1:amd64...
I: Configuring libacl1:amd64...
I: Configuring libcap2-bin...
I: Configuring bsdutils...
I: Configuring coreutils...
I: Configuring tar...
I: Configuring dpkg...
I: Configuring sed...
I: Configuring perl-base...
I: Configuring grep...
I: Configuring debconf...
I: Configuring tzdata...
I: Configuring gzip...
I: Configuring dash...
I: Configuring libtext-iconv-perl...
I: Configuring sysv-rc...
I: Configuring liblocale-gettext-perl...
I: Configuring libtext-charwidth-perl...
I: Configuring libpam0g:amd64...
I: Configuring libpam-modules-bin...
I: Configuring bash...
I: Configuring libtext-wrapi18n-perl...
I: Configuring libpam-modules:amd64...
I: Configuring libpam-runtime...
I: Configuring debconf-i18n...
I: Configuring passwd...
I: Configuring login...
I: Configuring adduser...
I: Configuring libuuid1:amd64...
I: Configuring libblkid1:amd64...
I: Configuring libmount1:amd64...
I: Configuring libcryptsetup4:amd64...
I: Configuring mount...
I: Configuring libfdisk1:amd64...
I: Configuring initscripts...
I: Configuring util-linux...
I: Configuring e2fsprogs...
I: Configuring systemd...
I: Configuring dmsetup...
I: Configuring systemd-sysv...
I: Configuring init...
I: Configuring libc-bin...
I: Unpacking the base system...
I: Unpacking apt...
I: Unpacking libapt-pkg4.16:amd64...
I: Unpacking debian-archive-keyring...
I: Unpacking libstdc++6:amd64...
I: Unpacking gnupg...
I: Unpacking gpgv...
I: Unpacking inetutils-ping...
I: Unpacking iproute2...
I: Unpacking libusb-0.1-4:amd64...
I: Unpacking netbase...
I: Unpacking libreadline6:amd64...
I: Unpacking readline-common...
I: Configuring the base system...
I: Configuring readline-common...
I: Configuring gpgv...
I: Configuring iproute2...
I: Configuring debian-archive-keyring...
I: Configuring libstdc++6:amd64...
I: Configuring libusb-0.1-4:amd64...
I: Configuring libreadline6:amd64...
I: Configuring netbase...
I: Configuring inetutils-ping...
I: Configuring gnupg...
I: Configuring libapt-pkg4.16:amd64...
I: Configuring apt...
I: Configuring libc-bin...
I: Base system installed successfully.
+ echo exit 101 > '/home/tianon/downloads/docker-brew-debian/unstable/rootfs/usr/sbin/policy-rc.d'
+ rootfs_chroot dpkg-divert --local --rename --add /sbin/initctl
+ PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
+ /bin/chroot /home/tianon/downloads/docker-brew-debian/unstable/rootfs dpkg-divert --local --rename --add /sbin/initctl
Adding 'local diversion of /sbin/initctl to /sbin/initctl.distrib'
+ cp -a /home/tianon/downloads/docker-brew-debian/unstable/rootfs/usr/sbin/policy-rc.d /home/tianon/downloads/docker-brew-debian/unstable/rootfs/sbin/initctl
+ sed -i 's/^exit.*/exit 0/' /home/tianon/downloads/docker-brew-debian/unstable/rootfs/sbin/initctl
+ rootfs_chroot apt-get clean
+ PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
+ /bin/chroot /home/tianon/downloads/docker-brew-debian/unstable/rootfs apt-get clean
+ echo force-unsafe-io > '/home/tianon/downloads/docker-brew-debian/unstable/rootfs/etc/dpkg/dpkg.cfg.d/docker-apt-speedup'
+ cat > '/home/tianon/downloads/docker-brew-debian/unstable/rootfs/etc/apt/apt.conf.d/docker-clean'
+ echo Acquire::Languages 'none' > '/home/tianon/downloads/docker-brew-debian/unstable/rootfs/etc/apt/apt.conf.d/docker-no-languages'
+ echo Acquire::GzipIndexes 'true' > '/home/tianon/downloads/docker-brew-debian/unstable/rootfs/etc/apt/apt.conf.d/docker-gzip-indexes'
+ echo Apt::AutoRemove::SuggestsImportant 'false' > '/home/tianon/downloads/docker-brew-debian/unstable/rootfs/etc/apt/apt.conf.d/docker-autoremove-suggests'
+ rootfs_chroot sh -xc 'apt-get update && apt-get dist-upgrade -y'
+ PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
+ /bin/chroot /home/tianon/downloads/docker-brew-debian/unstable/rootfs sh -xc 'apt-get update && apt-get dist-upgrade -y'
+ apt-get update
Get:1 http://httpredir.debian.org unstable InRelease [257 kB]
Get:2 http://httpredir.debian.org unstable/main amd64 Packages [10.4 MB]
Fetched 10.6 MB in 14s (713 kB/s)
Reading package lists...
+ apt-get dist-upgrade -y
Reading package lists...
Building dependency tree...
0 upgraded, 0 newly installed, 0 to remove and 0 not upgraded.
+ rm -rf /home/tianon/downloads/docker-brew-debian/unstable/rootfs/var/lib/apt/lists/httpredir.debian.org_debian_dists_unstable_InRelease /home/tianon/downloads/docker-brew-debian/unstable/rootfs/var/lib/apt/lists/httpredir.debian.org_debian_dists_unstable_main_binary-amd64_Packages.gz /home/tianon/downloads/docker-brew-debian/unstable/rootfs/var/lib/apt/lists/lock /home/tianon/downloads/docker-brew-debian/unstable/rootfs/var/lib/apt/lists/partial
+ mkdir /home/tianon/downloads/docker-brew-debian/unstable/rootfs/var/lib/apt/lists/partial
+ tar --numeric-owner --create --auto-compress --file /home/tianon/downloads/docker-brew-debian/unstable/rootfs.tar.xz --directory /home/tianon/downloads/docker-brew-debian/unstable/rootfs '--transform=s,^./,,' .
+ cat > '/home/tianon/downloads/docker-brew-debian/unstable/Dockerfile'
+ echo 'CMD ["/bin/bash"]'
+ rm -rf /home/tianon/downloads/docker-brew-debian/unstable/rootfs
